Generacja,Bot_ID,Punkty,town_size,wood_percent,gold_percent,stone_percent,feudal_vills,castle_vills,boar_hunting,boar_hunters,max_lumber_camps,max_mining_camps,build_market,build_blacksmith,build_archery,build_stable,build_tower,build_palisade,build_siege,militia_count,archer_count,skirm_count,scout_count,spearman_count,knight_count,ram_count,attack_group_size,target_eco,attack_percent,min_attack_group,army_size_with_siege,army_size_no_siege,tech_loom,tech_wheelbarrow,tech_double_axe,tech_horse_collar,tech_gold_mining,tech_fletching,tech_padded_archer,tech_forging,tech_scale_mail,tech_bloodlines
20,8,600,15,50,11,8,23,41,0,5,2,1,0,0,0,1,0,0,1,5,16,7,4,21,28,3,26,0,80,10,16,39,0,1,0,1,0,0,0,0,1,0
20,6,498,30,42,4,7,26,43,1,7,3,1,0,1,0,1,0,0,1,6,38,8,8,22,15,5,13,0,81,8,19,48,0,1,0,0,0,1,1,0,0,0
20,3,402,29,38,13,3,29,37,1,8,3,3,0,0,0,1,0,1,1,0,38,8,8,12,15,6,13,0,81,15,20,48,0,1,1,0,0,1,1,1,1,0
20,7,224,29,38,12,3,26,39,1,6,3,3,0,0,0,1,0,1,1,0,38,8,8,15,15,5,13,0,81,15,20,48,0,1,0,0,0,1,1,1,1,1
20,1,112,26,42,4,0,26,42,0,8,5,1,0,0,1,0,0,0,2,0,19,15,8,22,15,6,20,0,81,15,19,49,0,1,0,1,0,1,1,1,0,0
21,5,1062,29,38,4,7,26,39,1,8,3,1,0,1,0,0,0,1,1,10,38,5,10,22,15,5,20,0,81,15,20,48,1,1,0,0,0,1,1,1,0,1
21,7,704,29,38,12,4,25,39,0,6,3,1,0,0,0,1,0,1,1,0,38,8,8,15,15,5,13,0,81,15,20,48,0,0,0,0,1,1,1,0,1,1
21,6,520,15,50,11,0,23,37,1,5,0,0,0,0,1,0,0,0,1,8,36,7,12,21,15,6,26,0,81,15,20,39,0,1,0,0,0,0,0,0,0,0
21,2,462,29,38,12,0,25,39,0,6,5,1,0,1,0,1,0,1,1,0,38,8,8,15,15,6,13,0,81,15,20,45,0,0,1,0,1,1,1,1,0,1
21,4,342,12,50,11,8,25,39,0,6,2,1,0,0,0,0,0,1,1,5,38,7,8,24,28,8,26,0,80,15,20,39,1,0,0,1,0,1,0,0,1,1
21,1,282,15,43,11,8,25,39,0,5,2,1,0,0,0,0,1,0,1,9,18,11,4,22,15,5,26,0,80,15,16,39,0,1,1,1,0,1,1,1,1,1
21,3,136,29,43,7,3,25,39,1,6,3,1,0,0,0,1,0,0,1,0,38,10,9,22,15,5,13,0,61,15,20,48,0,0,0,1,1,1,1,0,1,1
21,8,96,18,48,18,2,24,36,0,6,3,2,0,1,1,1,0,1,1,2,31,0,6,21,24,5,35,1,88,9,16,41,0,0,1,0,1,0,0,0,0,1
22,6,2942,29,38,12,4,25,39,0,6,3,1,0,0,0,1,0,1,1,0,38,8,8,15,15,5,14,0,81,15,20,45,0,0,1,1,1,1,1,1,1,1
22,3,1498,29,33,4,0,23,37,1,5,1,0,1,0,1,0,0,0,1,10,37,5,10,21,15,5,26,0,81,15,23,39,1,1,0,0,0,1,0,0,1,1
22,7,1180,29,38,4,7,26,39,1,8,3,1,0,1,0,0,0,1,1,10,38,5,10,22,15,5,20,0,81,15,20,48,1,1,0,0,0,1,1,1,0,1
22,4,898,29,38,12,7,26,39,0,8,3,1,0,1,0,0,0,1,1,3,38,5,10,22,15,6,13,0,81,18,20,45,0,1,0,0,1,1,1,1,0,1
22,2,762,29,38,12,4,24,39,0,6,3,1,0,1,0,1,0,0,1,10,39,8,8,22,16,3,13,0,81,15,20,48,1,0,0,0,1,1,1,1,1,1
22,5,518,15,50,11,4,25,34,1,5,3,1,0,0,0,1,0,1,1,8,36,7,12,21,13,6,26,0,81,15,20,46,0,0,0,1,1,0,1,0,1,1
22,8,214,17,41,2,9,27,42,0,5,2,3,0,0,1,0,0,1,1,9,13,9,3,3,20,4,14,0,62,9,20,47,1,1,1,1,1,1,1,0,0,1
22,1,38,29,33,12,0,23,37,0,5,0,1,0,1,1,1,0,0,1,8,35,8,12,15,15,6,13,0,85,12,20,45,0,0,1,1,0,1,0,0,1,1
23,1,1722,29,38,12,7,26,39,0,8,3,1,0,1,1,0,0,1,1,10,38,5,10,22,13,5,14,0,81,18,20,45,1,1,0,0,0,1,1,1,0,1
23,6,1618,29,38,12,7,26,39,1,8,3,0,1,0,1,1,0,1,1,10,35,5,10,22,15,5,13,0,81,15,20,45,0,1,0,0,0,1,1,0,0,1
23,3,1200,29,38,0,7,26,39,0,8,3,1,0,0,0,1,0,1,1,10,38,5,10,15,15,5,20,0,81,15,20,45,0,0,1,0,0,1,1,1,1,1
23,5,1096,29,33,4,0,23,37,1,8,3,0,0,1,0,0,0,0,1,11,34,5,10,22,18,5,26,1,81,15,22,49,1,1,0,1,0,0,1,0,1,1
23,4,458,29,38,12,7,25,39,0,6,3,1,1,1,0,0,0,1,1,3,38,8,8,22,15,5,14,0,81,18,20,45,1,0,0,1,1,0,1,1,1,1
23,8,434,30,31,4,6,25,37,0,8,3,1,0,1,1,1,0,1,1,5,23,11,0,24,17,2,22,1,54,16,20,45,0,1,1,1,1,0,0,1,0,0
23,2,242,29,38,4,4,25,39,1,2,0,1,0,0,1,0,0,1,1,0,38,8,8,21,15,5,14,0,81,15,20,45,1,1,0,1,0,0,1,0,1,1
23,7,198,29,38,12,4,25,39,0,6,3,1,0,0,0,1,0,1,1,0,38,8,8,15,15,5,14,0,81,15,20,45,0,0,1,1,1,1,1,1,1,1
24,3,836,29,38,12,7,26,39,0,8,5,0,0,1,0,1,1,1,1,10,38,4,10,22,15,5,20,0,84,18,22,45,1,0,1,1,0,1,1,1,0,0
24,6,646,29,33,12,7,26,39,1,9,3,0,1,0,0,1,0,0,1,10,34,5,10,22,15,5,26,1,81,15,22,46,0,1,0,1,0,1,1,1,1,1
24,5,638,29,38,9,7,26,39,1,8,1,1,1,0,1,1,0,1,0,10,35,5,10,22,15,5,13,0,81,15,20,45,0,0,1,0,0,1,1,1,1,1
24,8,594,28,38,8,2,24,38,0,8,3,1,1,0,1,1,0,0,1,1,19,6,6,18,30,5,24,1,89,19,21,42,1,1,0,1,1,0,1,1,1,0
24,4,540,29,33,12,0,23,37,0,8,3,0,0,1,1,0,0,1,1,11,38,5,10,22,16,5,26,0,81,15,22,45,0,1,0,0,0,0,1,1,0,1
24,2,344,29,38,12,7,26,39,1,8,3,0,1,0,1,1,0,0,1,10,38,6,10,22,13,5,17,0,81,15,17,45,0,1,1,0,0,0,1,0,0,1
24,1,268,29,33,0,0,26,39,1,8,3,1,0,1,0,0,0,0,0,10,38,5,10,13,15,5,26,1,81,15,22,42,1,0,0,1,0,1,1,0,1,1
24,7,44,29,38,12,7,26,39,0,8,3,1,0,1,1,0,0,1,1,10,38,5,10,22,13,5,14,0,81,18,20,45,1,1,0,0,0,1,1,1,0,1
